beat1,beat2,corr
1633,1134,0.9430412434603528
1921,1713,0.9429657614546251
2534,2513,0.9428939987206794
1225,915,0.9428327994506492
1623,1622,0.9428200898171936
1713,1633,0.9427823587633193
2222,821,0.9427447833796173
1653,414,0.9426528554465711
1112,223,0.9426489407739751
1932,1812,0.9425738379306249
2511,831,0.9425413749404435
2024,331,0.9425206056881295
1832,1831,0.9424940823948447
1633,1622,0.9424258426623349
1911,1822,0.9423706735788816
1914,1511,0.9421102678349406
1652,921,0.9420874379678679
1624,1622,0.9419625015475551
814,213,0.941917881522612
1432,1215,0.9418577957759235
933,922,0.9416461090379459
1533,431,0.9416428195686103
824,314,0.9416399375505914
1934,112,0.9415376284521054
1024,532,0.9415116551198046
1653,723,0.9414290789834687
1711,1131,0.9413060424448862
1022,634,0.9412951219093686
2535,2514,0.9412866920862518
522,232,0.9412143431045598
1731,913,0.9411376857211154
2532,912,0.9411297935358507
1221,1211,0.9410936617317986
1522,1113,0.9409493839909815
1915,235,0.9405674034769931
1821,1112,0.9404692759287918
1212,225,0.9404536260847868
1822,112,0.9403542062051787
1414,631,0.9402589946498212
511,112,0.9402450328228142
1654,633,0.9401777446202815
2433,1831,0.9401056232109476
1633,1125,0.9400526812484129
2532,1125,0.9400180600156915
2513,1235,0.939973432471293
1113,934,0.9398369107754249
631,622,0.9397695168759873
1214,533,0.9397196783087185
1712,312,0.9395717265138528
1633,1623,0.9394942897347464
1113,922,0.9394101896807219
1234,912,0.9393379805275623
2011,1935,0.9392302662817191
1234,1211,0.9390777686077232
1512,931,0.9390328907587584
1832,123,0.9389946366005101
1024,123,0.9389476562218082
1912,1824,0.9389415355989241
1611,713,0.938934118867679
1913,1613,0.9389145310780048
1653,735,0.9387581250758946
1434,1213,0.938706640850926
1034,131,0.9386492656627001
613,431,0.9385655631930199
624,333,0.9384352618935244
2234,1123,0.9384130706630351
835,433,0.9383727950147182
1222,722,0.9383609721445899
1533,414,0.9383276855810313
2514,1221,0.9383144752470844
1423,1212,0.93830824783951
1722,225,0.938204884138573
1713,924,0.9381870423521076
921,133,0.9381831332923156
1423,225,0.9381712995033277
1722,912,0.9381629123097315
533,124,0.9380692403058134
1822,532,0.9380522366819483
2433,122,0.9380227221223171
1633,924,0.9379643744121046
1414,1022,0.9379251255812301
1622,522,0.9378306722529988
2525,1225,0.9377901712282226
2032,1814,0.9376658301034381
1622,513,0.9376184053230743
1522,412,0.9375386032228678
2413,223,0.9375363946506411
1713,1712,0.9374401126583434
1221,933,0.9374332130642409
531,433,0.9374264765336954
1823,1631,0.9373775211494996
733,724,0.9372789031252287
1132,533,0.9372596245176144
614,314,0.9371631855856964
2535,2524,0.9371352095342519
1832,631,0.9371086138838851
1922,1131,0.9370603758039765
2433,1132,0.9369958356292949
2522,1634,0.9369332518091176
2523,1235,0.9369133187765826
924,323,0.9368871105634806
2233,2013,0.9368202726679387
2013,1912,0.9367537530762172
1213,632,0.9366554159294446
